(iter: 0) Current best is [010001010111011111 , 010100010101011111] ([4.272 , 13.549]) with a rating of 2223.188
(iter: 100) Current best is [010001010111011111 , 010100010101011111] ([4.272 , 13.549]) with a rating of 2223.188
(iter: 200) Current best is [001100000101110110 , 111111011101110010] ([-12.215 , 148.330]) with a rating of 249.358
(iter: 300) Current best is [010011110010001101 , 111100101101100100] ([11.827 , 139.725]) with a rating of 119.233
(iter: 400) Current best is [010011110010001101 , 111100101101100100] ([11.827 , 139.725]) with a rating of 119.233
(iter: 500) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 600) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 700) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 800) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 900) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 1000) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 1100) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 1200) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 1300) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 1400) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 1500) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 1600) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 1700) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 1800) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 1900) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 2000) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 2100) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 2200) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 2300) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 2400) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 2500) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 2600) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 2700) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 2800) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 2900) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 3000) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 3100) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 3200) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 3300) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 3400) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 3500) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 3600) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
(iter: 3700) Current best is [010000010010011111 , 010000010100111111] ([0.903 , 1.025]) with a rating of 4.414
